,tweet
0,"['co', 'nikdi', 'neřekli', 'covid19', 'propagandahttp', 'co', 'gtg9xrziwz']"
1,"['anoth', 'dayanoth', 'test', 'veterinarymedicin', 'covid19http', 'co', 'fjuoe1d6xx']"
2,"['', 'coronaviru', 'covid19', 'covid_19', 'sarscov', 'covid19world', 'europeanmedicin', 'agenc', 'scienc', 'medicin', 'healthlatest', 'news15', '12', '2021http', 'co', 'mizlhgrq4l']"
3,"['incred', 'interview', 'podcast', 'joeroganal', 'look', 'truth', 'covid', 'amp', 'covid19', 'scamdesivir', 'polici', 'amporchestr', 'need', 'watch', '']"
4,"['brutt', 'notizi', 'per', 'gli', 'italiani', 'esterol', 'italia', 'abbandona', 'il', 'green', 'pass', 'e', 'fa', 'arrabbiar', 'l', 'ue', 'introducendo', 'un', 'tampon', 'negativo', 'come', 'requisito', 'per', 'viaggiar', 'da', 'un', 'paes', 'ue', 'anch', 'per', 'chi', 'vaccinato', 'http', 'co', 'mg0qoe460h', 'greenpass', 'italia', 'bruxel', 'covid19', 'quarantena']"
5,"['', 'venetoil', 'bollettino', 'e', 'numeri', 'odierni', 'del', '15dicembr', 'coronaviru', 'covid19', 'http', 'co', 'iitnj48m1q']"
6,"['', 'askwho', 'live', 'q', 'amp', 'drmikeryan', 'dr', 'mvankerkhov', '16', '00h', 'cet', 'todaywho', 'twitterfacebooklinkedin', 'ampyoutubetun', 'ask', 'question', 'omicron', 'covid19', 'variant', 'concernhttp', 'co', 'pu7xe7jqwx']"
7,"['', 'covid19', 'vaccin', 'pop', 'clinic', 'today', 'outsid', 'vi', 'forrest', 'commun', 'hallgilpin', 'roade0hl', '3pm', '6', '45pmwednesday', '1dec', 'anyon', '16', '1st', 'amp2nd', 'dose', 'pfizer', 'ampboost', 'shot', 'walk', 'book', 'via', '020', '835311', 'id', 'nh', 'number', 'requiredhttp', 'co', 'qkxa3buyfr']"
8,"['alert', 'center', 'covid19', 'number', 'spike', 'across', 'state', 'mid', 'hudson', 'regionjoin', 'scrawfordtv', '30', 'minut', 'facebook', 'live', 'news12wc', 'discuss', 'number', 'ask', 'question', 'http', 'co', 'rxl2kleytd']"
9,"['look', 'deo', 'behind', 'close', 'doorsclaim', 'covid19', 'yet', 'arran', 'roadblockvaccin', 'forcedroadblockvaccinationhttp', 'co', 'cvzdihdl04']"
10,"['manag', 'non', 'formal', 'educ', 'lesson', 'covid19', 'pandem', 'psycholog', 'first', 'aidteach', 'opportun', 'attend', 'train', 'thank', 'aicsamman', 'onhttp', 'co', 'i1akhazqq0']"
11,"['director', 'gener', 'health', 'servic', 'inform', 'suprem', 'court', 'order', 'issu', 'make', 'coronaviru', 'vaccin', 'mandatori', 'prevent', 'spread', 'covid', '19', 'srilanka', 'lka', 'covid19', 'coronaviru', 'corona']"
12,"['time', 'eu', 'take', 'european', 'len', 'come', 'covid19', 'divis', 'rich', 'poor', 'get', 'larger', 'largerw', 'need', 'pressur', 'pharmaceut', 'compani', 'produc', 'africa', 'possibl', 'cancel', 'patentsth', 'world', 'larger', 'europ', '']"
13,"['na', 'razi', 'nie', 'oficjalnych', 'danych', 'świadczących', 'obecności', 'omikrona', 'w', 'polscejednak', 'można', 'zakładaćż', 'po', 'nowym', 'roku', 'nowi', 'wariant', 'koronawirusa', 'spowoduj', 'wzrosti', 'zachorowana', 'covid19http', 'co', 'jlpijusphb']"
14,"['', 'ahora', 'vemo', 'que', 'la', 'eficacia', 'se', 'reduc', 'drásticamenteno', 'es', 'como', 'prometieron', 'por', 'contra', 'lo', 'efecto', 'adverso', 'de', 'la', 'vacuna', 'covid19', 'son', 'máyor', 'que', 'combinando', 'lo', 'de', 'toda', 'la', 'vacuna', 'durant', 'varia', 'década', 'ademá', 'han', 'secuestrado', 'nuestro', 'derecho', 'humano', '']"
15,"['sso_goboax', 'oaxaca', 'permanec', 'en', 'semáforo', 'epidemiológico', 'color', 'verdesin', 'embargo', 'debemo', 'continuar', 'aplicando', 'en', 'todo', 'tiempo', 'la', 'medida', 'sanitariaspara', 'evitar', 'enfermar', 'de', 'covid19', 'nobajeslaguardia', 'usacubreboca', 'mecuido', 'poramoralavidahttp', 'co', 'iyrhqcsmoa']"
